Dr. Ravi Modali,dr-ravi-modali-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ashwitha R Nayak,dr-ashwitha-r-nayak-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Renuka C,dr-renuka-c-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Siddhant Dubey,siddhant-dubey-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anil Kumar K C,dr-anil-kumar-k-c-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Srikanth S.,dr-srikanth-s-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Aamir Muhamed,aamir-muhamed-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Mohit J,dr-mohit-j-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rakshith B Das,dr-rakshith-b-das-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Abdul Rasheed,abdul-rasheed-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Prathibha,dr-prathibha-4-general-practitioner-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Minakshi Dutta,minakshi-dutta-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Preeti Gupta,dr-preeti-gupta-general-physician-2,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rakesh J P,rakesh-jp-gastroenterologist,./FinalData\Bangalore\General Physician\,,
Dr. Gopinath B,dr-gopinath-b-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ahmed Husain,dr-ahmed-husain-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ameena Meah,ameena-meah-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Leelamohan PVR,leelamohan-pvr-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Suresh G,dr-suresh-gupta-general-physician-2,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Uma. M,uma-m-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. T.N Venkata Subba Rao,dr-t-n-venkata-subba-rao-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Uvaraj Prakash,dr-uvaraj-prakash,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Gowthami,dr-gowthami-2-family-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ruchi Satyesh,ruchi-satyesh-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rashmi G R,dr-rashmi-g-r-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Renu Saraogi,dr-renu-saraogi-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
